layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,1024,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.588198989560516,79.43951673885114,79.44582258293602,80.30874046908762,80.99662432177861,81.24382144475938,81.28592459950667,1.0195210370172167,91.9212142653573,0.919212142653573,0.5472723958335577,0.7139999999999477,0.08207507638161973,0.8325000000003276,0.004224430242576055,0.740745029733921,0.7314500513232826,3626.6031139281204,127.33823823322705,0.08077799479166667,0.48220064724919104,1.9312500000000001,0.0,0.0,0.6138437250846432,99.38615627491536,0.0,110.77639999999872,110.11409650390533,1.0,58.304570312500005,79.43951673885105,26.605046690542675,0.12573703013771872,100.11527868552697,0.0,0.0,0.008392866527291142,0.052942959742911064,0.011677576664822298,0.0008392061977811582,0.0004876760096680665,0.0,0.048934247656106156,81.0089309756169,81.43791973254608,81.53885046687554,12.580878154350597,12.598307801504427,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,2048,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.566901997721827,79.57414204392599,79.58068507935307,80.44498197118456,81.13403571220343,81.3814537170993,81.42365002988403,1.019519986390801,91.93488209714847,0.9193488209714847,0.5457770833332564,0.7139999999999477,0.08193414401434733,0.8325000000003276,0.004619203219957023,0.7400236234986585,0.7312589099027472,3631.7997742057837,127.42711605497635,0.08077799479166667,0.5109672779575691,2.0448529411764707,0.0,0.0,0.5947642000431053,99.40523579995688,0.0,110.77639999999872,110.11409650390533,1.0,58.324427083333354,79.57414204392595,26.70426407704767,0.12563965058560092,100.02336655184605,0.0,0.0,0.008381265339667736,0.05304912911185994,0.011584565581445149,0.0008403269146524244,0.00048769974946905585,0.0,0.04888324991677811,81.14629919675716,81.57566063141364,81.67682736741969,12.559589515862822,12.576996632627736,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524490327413995,79.84360393471124,79.85028396077709,80.71765284406564,81.40904797026069,81.65694976681851,81.69929102904786,1.019521872422196,91.96210073960738,0.9196210073960738,0.5427864583331955,0.7139999999999477,0.08165344026394723,0.8325000000003276,0.005404741072837795,0.7385861548552061,0.7308766267599484,3642.193094761107,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5646905010008142,99.43530949899919,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.8436039347116,26.901888527436018,0.12544628943505023,99.83945491717651,0.0,0.0,0.008358307246506212,0.053262719983934115,0.011399461257039003,0.0008387442753574209,0.00048775568873877747,0.0,0.04878254195198417,81.42122512357699,81.85145729940474,81.95297187676306,12.517195272012176,12.534557008932316,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,8192,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.440393966437142,80.38334228006735,80.39000742462538,81.26374606457655,81.96017445142826,82.20870199805864,82.25133358101228,1.0195326375012719,92.01607143743708,0.9201607143743707,0.5368052083334071,0.7139999999999477,0.08109668170117469,0.8325000000003276,0.0069599463619930526,0.7357326744213951,0.7301123508459547,3662.979735871739,127.9603829854708,0.08077799479166667,0.6332254584681769,2.726470588235294,0.0,0.0,0.5247069576303716,99.47529304236961,0.0,110.77639999999872,110.11409650390533,1.0,58.44356770833334,80.38334228006742,27.293899290419002,0.1250651304328209,99.47131358215495,0.0,0.0,0.008312593111904173,0.05368998686115319,0.011125486153634965,0.0008275918528894184,0.0004878564870961402,0.0,0.04858175983706326,81.97183491537427,82.40381245134367,82.50602372847096,12.43313601947803,12.450405264883383,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,16384,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.275051620213668,81.466089032745,81.47479329030567,82.3589384045934,83.0655426595987,83.31524698774575,83.35846089948798,1.0195252091007747,92.12218360922391,0.9212218360922391,0.5248427083333783,0.7139999999999477,0.08000137865564368,0.8325000000003276,0.010008130389754599,0.7301098411605601,0.7285849347134737,3704.5530180930036,128.67140555946426,0.08077799479166667,0.7249190938511326,3.635294117647059,0.0,0.0,0.4189917391352966,99.58100826086472,0.0,110.77639999999872,110.11409650390533,1.0,58.602421875000026,81.46608903274468,28.065224641483326,0.12432472495878259,98.73378353328262,0.0,0.0,0.008219287151448162,0.0545270986372625,0.010625210181638723,0.0008311805038723924,0.00048785528386432217,0.0,0.048167013315921894,83.07608625159884,83.5115700190481,83.61517876397097,12.26787058136345,12.284950009926465,3.0
