layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,2800.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.467536691475122,223.83709972345318,223.86801472035324,226.31033595267925,228.24694838982495,228.91604664272793,229.04301594959497,1.0195611373929936,97.13284817622737,0.9713284817622738,0.5427864583331955,0.7139999999999477,0.02736872165440662,0.8325000000003276,0.0019278931453181939,0.263456688485659,0.2607066684258301,0.558657146626591,0.22346285865071155,3642.193094761107,4767.17341547424,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,174.8542618750001,223.83709972345278,21.88321694126364,0.06847230645073232,65.24588432038837,0.0,0.0,0.003017191512683458,0.15111003605369575,0.021737285590030596,0.0008567508680934981,0.00017607061823919412,0.0,0.052756879488627284,228.26803631078832,229.422965168494,229.72909424096548,4.464875774945549,4.471167134243307,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,3600.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.20964248403033,191.9518390965991,191.97834789995395,194.07257464322507,195.73316928718168,196.30690358411155,196.41577645246983,1.0195593679186148,96.65658349401401,0.9665658349401403,0.5427864583331955,0.7139999999999477,0.03209354307282885,0.8325000000003276,0.0022481368879825013,0.30721967200758393,0.3040128441010648,0.5066880735016045,0.2605824378009127,3642.193094761107,3707.8015453688367,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,147.11895681547622,191.9518390965991,23.35628323678716,0.07886454445379198,66.05809913436656,0.0,0.0,0.0035180609793738593,0.1295729138705521,0.018639155327409708,0.0008566716720174442,0.0002052992556281946,0.0,0.05175734612990839,195.75125162928185,196.74157299584482,197.0040706894231,5.206539841463588,5.213875599150541,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.681523499289458,176.00920878317228,176.0335144897543,177.95369398849797,179.47627973586,180.0023320548033,180.10215670390718,1.0195582427672056,96.3537422236786,0.963537422236786,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024517695020044093,0.3350471344829669,0.33154983727592907,0.4736426246797394,0.28418557480793916,3642.193094761107,3178.115610316158,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.00920878317223,24.2929583389744,0.08534074939885596,66.57456020349382,0.0,0.0,0.0038365004531602295,0.11880435277960374,0.017090090196089647,0.0008566213139595536,0.0002238820452143327,0.0,0.05112186892739761,179.49285928852862,180.40087690952018,180.64155891365175,5.678140019056841,5.6861397774466,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,5000.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,6.222612321335629,160.7042836822827,160.72647441596263,162.47956855996003,163.86966576659123,164.3499433866674,164.44108174528705,1.0195569525969332,96.00648513889274,0.9600648513889275,0.5427864583331955,0.7139999999999477,0.038628899839759374,0.8325000000003276,0.00268526762481147,0.3669558750434884,0.3631255072390416,0.43575060868670334,0.3112504347763213,3642.193094761107,2669.6171126655586,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,119.93835785714288,160.70428368228247,25.36700965973797,0.09264420287163071,67.16676735421665,0.0,0.0,0.004201598288476298,0.10846653413201056,0.015602987670056535,0.0008565635703553821,0.0002451876207178089,0.0,0.05039327990909887,163.88480264140549,164.71380866664853,164.93354760891128,6.218906854554739,6.227667904310348,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,5800.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,6.683538649316302,149.62140688508617,149.64206608666518,151.27416738757043,152.5683246164311,153.01545504077595,153.10030332697596,1.0195558535658158,95.71067431090432,0.9571067431090432,0.5427864583331955,0.7139999999999477,0.041636068663740894,0.8325000000003276,0.0028841729208566643,0.3941373247755884,0.39002323089666535,0.40347230782400095,0.33430562648285606,3642.193094761107,2301.394062642737,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,110.29794837438426,149.62140688508643,26.281939909950978,0.09876482262737456,67.67123881299575,0.0,0.0,0.004512568714596355,0.10098052752395534,0.01452612032357071,0.0008565143816138871,0.0002633345480676103,0.0,0.0497727071118521,152.5824167934888,153.35420752525886,153.5587808020304,6.679558931944432,6.688968408176785,3.0
