layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,4.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.6816811281309905,176.00432569891052,176.02863073070353,177.94875692034188,179.4713003968202,179.99733811120254,180.0971599889182,1.0195582423913558,96.35364106148548,0.9635364106148548,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024518375241795094,0.3350564300692078,0.33155903583275387,0.47365576547520344,0.2841934592852176,3642.193094761107,3178.115610316158,3668.208759723681,126.35480212739931,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.0043256989102,24.290857914101565,0.0853418111043913,66.5755790036038,0.0,0.0,0.003836606819703391,0.1188010544661068,0.01708961573139441,0.000856621297137786,0.0002238882523188236,0.0,0.0511232862754885,179.48787948919792,180.39587190129254,180.63654722347462,5.678297554091745,5.686297534273923,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.681523499289458,176.00920878317228,176.0335144897543,177.95369398849797,179.47627973586,180.0023320548033,180.10215670390718,1.0195582427672056,96.3537422236786,0.963537422236786,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024517695020044093,0.3350471344829669,0.33154983727592907,0.4736426246797394,0.28418557480793916,3642.193094761107,3178.115610316158,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.00920878317223,24.2929583389744,0.08534074939885596,66.57456020349382,0.0,0.0,0.0038365004531602295,0.11880435277960374,0.017090090196089647,0.0008566213139595536,0.0002238820452143327,0.0,0.05112186892739761,179.49285928852862,180.40087690952018,180.64155891365175,5.678140019056841,5.6861397774466,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,8.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.681365879193966,176.0140918674346,176.038398248805,177.9586310566542,179.48125907489984,180.00732599840413,180.10715341889613,1.0195582431430343,96.35384338025892,0.9635384338025893,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.002451701483603521,0.33503783941249193,0.33154063922948634,0.47362948461339266,0.28417769076813115,3642.193094761107,3178.115610316158,3668.208759723681,128.8549412695489,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.01409186743422,24.29505864730484,0.08533968771973675,66.573541459912,0.0,0.0,0.0038363940924891517,0.11880765109228705,0.01709056466082165,0.000856621330780467,0.00022387583845252915,0.0,0.05112045165788981,179.49783908785935,180.40588191774788,180.64657060382882,5.677982492762783,5.685982029372382,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,10.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.681208267843851,176.01897495169558,176.04328200785577,177.9635681248104,179.48623841393973,180.0123199420049,180.11215013388508,1.0195582435188424,96.35394453122741,0.9635394453122742,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024516334689765585,0.33502854485774364,0.33153144169338705,0.473616345276108,0.28416980716576035,3642.193094761107,3178.115610316158,3668.208759723681,130.10501084062392,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.01897495169624,24.297158839102604,0.08533862606703307,66.57252277285401,0.0,0.0,0.003836287737750794,0.11881094940605309,0.01709103912555985,0.0008566213476002132,0.00022386963203690317,0.0,0.051119034466960145,179.5028188871901,180.41088692597555,180.65158229400598,5.677824975208872,5.685824290050681,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,12.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.68105066523826,176.02385803595908,176.04816576690646,177.96850519296655,179.4912177529795,180.01731388560572,180.11714684887406,1.0195582438946291,96.35404567658229,0.9635404567658229,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024515654581231537,0.3350192508186716,0.33152224466758146,0.47360320666781425,0.28416192400078405,3642.193094761107,3178.115610316158,3668.208759723681,131.35508041169817,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.02385803595826,24.29925891437736,0.08533756444074314,66.57150414231438,0.0,0.0,0.003836181388900223,0.11881424771956052,0.017091513590242052,0.0008566213644191707,0.00022386342596487758,0.0,0.0511176173546174,179.50779868652074,180.4158919342032,180.6565939841831,5.677667466394292,5.685666559480586,3.0
