layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.6,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.498760242405328,181.8592576743852,181.8843717936052,183.86841684463548,185.44164409698305,185.98519302075044,186.08833785755078,1.0195586785472648,96.67101932657745,0.9667101932657746,0.24278645833329046,0.7139999999999477,0.03118520993010315,0.5550000000001604,0.002372900976797825,0.32426933773259525,0.3208845415876281,0.4584064879821717,0.2750438927893955,3642.193094761107,3178.115610316158,3668.208759723681,510.4194867938959,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,103.74559999999872,103.14474734374907,0.7872799999999357,133.2513042857143,181.8592576743849,26.728302574505847,0.1124644626026771,48.89330920650999,0.0,0.0,0.0037131706734074687,0.12275580919744836,0.017658509997322762,0.000856640818020066,0.00021668503750798057,0.0,0.04947848352658873,185.4587750888731,186.39699355665448,186.64568069214448,5.495485528989103,5.503228123718472,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.7,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.558360694264629,179.90924137731395,179.9340860256549,181.89684255925633,183.45318930994202,183.9909060321014,184.09294413966958,1.0195585364361597,96.56759378090969,0.9656759378090968,0.34278645833343396,0.7139999999999477,0.032472228196349574,0.647499999999687,0.0023986205870735887,0.3277840570876849,0.32436257351304293,0.46337510501847695,0.27802506301117963,3642.193094761107,3178.115610316158,3668.208759723681,382.81461509542186,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,106.08919999999871,105.46786373046784,0.9044599999999358,133.2513042857143,179.90924137731403,25.93411877987901,0.10146969516379827,54.778523906562505,0.0,0.0,0.003753390032733124,0.1214386570584642,0.017469036730277762,0.0008566344575993381,0.0002190320703137668,0.0,0.05001441173519238,183.4701364887583,184.39828800760966,184.64430676598022,5.555050510650821,5.562876969615334,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.8,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.61926730883972,177.95922508024293,177.98380025770462,179.9252682738772,181.464734522901,181.99661904345234,182.09755042178836,1.0195583912106443,96.46185781570237,0.9646185781570237,0.4427864583333448,0.7139999999999477,0.0337856764012415,0.7399999999998124,0.0024249038507271176,0.33137580262688654,0.3279168276059679,0.468452610865511,0.2810715665194011,3642.193094761107,3178.115610316158,3668.208759723681,255.20974339694794,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,108.43279999999874,107.7909801171866,1.0,133.2513042857143,177.9592250802431,25.12253019670325,0.0926168571448389,60.672180708349366,0.0,0.0,0.0037944902074646177,0.12012150491857933,0.017279563463205184,0.0008566279577901692,0.00022143050380540294,0.0,0.05056207692433822,181.48149788864345,182.3995824585649,182.64293283981598,5.615920878220798,5.623833038071152,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.681523499289458,176.00920878317228,176.0335144897543,177.95369398849797,179.47627973586,180.0023320548033,180.10215670390718,1.0195582427672056,96.3537422236786,0.963537422236786,0.5427864583331955,0.7139999999999477,0.03512550288561204,0.8325000000003276,0.0024517695020044093,0.3350471344829669,0.33154983727592907,0.4736426246797394,0.28418557480793916,3642.193094761107,3178.115610316158,3668.208759723681,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2513042857143,176.00920878317223,24.2929583389744,0.08534074939885596,66.57456020349382,0.0,0.0,0.0038365004531602295,0.11880435277960374,0.017090090196089647,0.0008566213139595536,0.0002238820452143327,0.0,0.05112186892739761,179.49285928852862,180.40087690952018,180.64155891365175,5.678140019056841,5.6861397774466,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.95,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.713171781078404,175.03420063463625,175.05837160577914,176.96790684580847,178.48205234233953,179.00518856047879,179.10445984496653,1.0195581673051548,96.29876907952185,0.9629876907952184,0.5927864583335245,0.7139999999999477,0.03580529920727683,0.8787499999998752,0.00246542680573477,0.33691347651711,0.3333966980129303,0.47628099716116884,0.2857685982967974,3642.193094761107,3178.115610316158,3668.208759723681,63.802435849237064,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,0.0,100.0,0.0,111.94819999999872,111.27565469726471,1.0,133.2513042857143,175.0342006346368,23.871240856296765,0.08216948214623361,69.52911206504874,0.0,0.0,0.003857856351165541,0.11814577670937534,0.01699535356258093,0.0008566179365318979,0.00022512828568301232,1.4210854715202004e-14,0.051406439053959044,178.49853998847124,179.40152413499786,179.64087195056965,5.709769466683754,5.717813755769414,3.0
