layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,16,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.52456952840492,79.84309903150508,79.84977955421746,80.71714133078937,81.40853205533477,81.65643385789234,81.69877485081484,1.019521851654555,83.92409982184613,0.8392409982184613,0.5427864583331955,0.7139999999999477,0.16330791789468416,0.8325000000003276,0.005401191942658459,0.7385908254448922,0.7308765664072526,3642.169762055117,127.60487169847397,0.08077799479166667,0.8899676375404532,9.088235294117647,0.0,0.0,0.5646937781794971,99.4353062218205,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.84309903150489,26.901426277658327,0.12544727282872048,99.8393036145789,0.0,0.0,0.008358334190716285,0.053262218074893064,0.011400384249713803,0.0008387633481358448,0.00048775413640688223,0.0,0.048782699209756725,81.42070968511189,81.85094173602448,81.9524556677623,12.51727445766097,12.534636243325075,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,32,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524543127963328,79.84326733257372,79.84994768973733,80.7173118352148,81.40870402697672,81.65660582753439,81.69894691022584,1.0195218585771306,89.28275580518591,0.8928275580518591,0.5427864583331955,0.7139999999999477,0.1088717147361853,0.8325000000003276,0.0054023749910390335,0.738589268575101,0.7308765865250413,3642.1775396237813,127.60487169847397,0.08077799479166667,0.7799352750809061,4.544117647058823,0.0,0.0,0.5646926857819979,99.435307314218,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.84326733257377,26.90158036156713,0.12544694502911127,99.83935404899562,0.0,0.0,0.008358325209353177,0.05326238537817035,0.011400076582530028,0.0008387569904710588,0.00048775465385553457,0.0,0.048782646790484115,81.42088149793355,81.85111359048454,81.95262773742921,12.51724806233337,12.534609831749586,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524490327413995,79.84360393471124,79.85028396077709,80.71765284406564,81.40904797026069,81.65694976681851,81.69929102904786,1.019521872422196,91.96210073960738,0.9196210073960738,0.5427864583331955,0.7139999999999477,0.08165344026394723,0.8325000000003276,0.005404741072837795,0.7385861548552061,0.7308766267599484,3642.193094761107,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5646905010008142,99.43530949899919,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.8436039347116,26.901888527436018,0.12544628943505023,99.83945491717651,0.0,0.0,0.008358307246506212,0.053262719983934115,0.011399461257039003,0.0008387442753574209,0.00048775568873877747,0.0,0.04878254195198417,81.42122512357699,81.85145729940474,81.95297187676306,12.517195272012176,12.534557008932316,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,128,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524384727650755,79.84427713898715,79.85095650285662,80.7183348617673,81.40973585682855,81.65763764538671,81.69997926669186,1.0195219001119782,93.30180709182162,0.9330180709182162,0.5427864583331955,0.7139999999999477,0.06804395724702034,0.8325000000003276,0.005409473176586676,0.7385799274941681,0.7308767072284246,3642.2242050357568,127.60487169847397,0.08077799479166667,0.11974110032362462,1.1360294117647058,0.0,0.0,0.5646861314937014,99.4353138685063,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.84427713898717,26.902504851378893,0.1254449782674983,99.83965665097521,0.0,0.0,0.008358271320815413,0.05326338919535546,0.011398230641346924,0.0008387188459984307,0.00048775775847830855,0.0,0.04878233227517674,81.42191237486375,81.85214471724512,81.95366015543078,12.517089692705497,12.534451364633215,3.0
