layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,64,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.159295033640038,240.42546822837838,240.45867558148657,243.082095659033,245.16230848394275,245.88102057115057,246.0174046898563,1.019561887380246,97.33066985761086,0.9733066985761085,0.5542447916668216,0.7139999999999477,0.026981843799754972,0.8325000000003276,0.0010840594248905198,0.2435191421714794,0.24006526364313388,0.3006034605617905,0.1920522109145071,3602.371943208154,2755.230694846376,3285.3632122058384,126.7160934809829,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60246654918483,67.39753345081516,0.0,110.77639999999872,110.11409650390533,1.0,177.89276660326092,240.4254682283782,26.009149934656985,0.07482516523089494,55.58684101829892,0.0,0.0,0.0028091254603377605,0.16231489013622344,0.02334911177670191,0.0008567844352431016,0.00016213647716460666,0.0,0.04997230998751813,245.18496008051272,246.42552725625526,246.75435589043028,4.156817614401174,4.162675120445571,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.105261018322103,243.58998161280851,243.62362626650113,246.28159360618304,248.38920031222324,249.11737696634842,249.25555709856357,1.0195620157438186,97.36534751880858,0.9736534751880859,0.5427864583331955,0.7139999999999477,0.02662700233670943,0.8325000000003276,0.001771558942552726,0.2420928014581766,0.23956578244728366,0.2999780232381955,0.19165262595782692,3642.193094761107,2785.687421911898,3321.680102422126,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60246900993834,67.39753099006165,0.0,110.77639999999872,110.11409650390533,1.0,177.89276660326092,243.58998161280851,26.970375982216087,0.07476661588945795,54.90766841577744,0.0,0.0,0.0027726498999351965,0.1644523804708489,0.023656591273469484,0.000856790180412101,0.0001618001972994682,0.0,0.04932343615201528,248.4121502028603,249.66905414440848,250.00221305306746,4.102815767552527,4.108597215824467,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,256,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.000762377252497,249.95247447492298,249.9869983544323,252.71442557097745,254.87710974169985,255.62431562164565,255.76610677451754,1.0195622639943807,97.43241209750148,0.974324120975015,0.519869791666469,0.7139999999999477,0.025940098655577,0.8325000000003276,0.003093912323631522,0.2393164369935555,0.2385728203564829,0.2987346620115367,0.1908582562851863,3721.835397866979,2846.60087604294,3394.3138828546907,129.38242813345786,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60247377347523,67.39752622652476,0.0,110.77639999999872,110.11409650390533,1.0,177.89276660326092,249.9524744749239,28.82933121883167,0.07471119034495975,53.54970125249745,0.0,0.0,0.002702106929778471,0.1687499660453198,0.02427480199875229,0.0008568012913674512,0.0001611316070175676,0.0,0.048068527739562106,254.90065937506282,256.190409616754,256.5322748689507,3.9983793396287615,4.004013693761372,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,512,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,3.805012807686307,262.81132457217353,262.84762540190223,265.71543378254387,267.9894316923158,268.7750963918445,268.92418556058203,1.0195627290346974,97.55803920891474,0.9755803920891474,0.47403645833338875,0.7139999999999477,0.02465086415275064,0.8325000000003276,0.005543616148234245,0.23404792322287837,0.23661062319200976,0.2962776499100513,0.18928849855360777,3881.12000407873,2968.4277843050445,3539.5814437198155,132.93754100342485,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60248271405163,67.39751728594837,0.0,110.77639999999872,110.11409650390533,1.0,177.89276660326092,262.8113245721731,32.31157446798401,0.07484977098614469,50.83532419646232,0.0,0.0,0.0025699591836437696,0.17743555682014472,0.025524230376602005,0.0008568221052033141,0.0001598101438165007,0.0,0.04571771492388845,268.01419342949794,269.3703273455998,269.72978846315135,3.8027463135949833,3.8081051171110722,3.0
