layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,3200.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,8.372371161903708,119.44053078513127,119.45701957469333,120.75965340552447,121.79256293619733,122.14943246214058,122.21715267535949,1.0195521281968964,94.62682443896445,0.9462682443896445,0.5427864583331955,0.7139999999999477,0.05444782864996584,0.8325000000003276,0.0036129612553365115,0.49373006500360006,0.7328645996157569,5463.289642141645,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,87.48621093750005,119.44053078513134,26.75329704826505,0.09828142674258816,85.18771624667875,0.0,0.0,0.005651751469618172,0.08059588662495867,0.01159377530900664,0.0008563476481724516,0.0004947187000925496,0.0,0.04944503212362037,121.8038103670861,122.41980198290548,122.58307865639308,8.367386778069077,8.379171645047602,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4000.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,10.451934064389656,95.67611593411952,95.68932074201494,96.73251614635619,97.55970675817275,97.84550054043308,97.89973329068023,1.0195472445762692,93.29221372984826,0.9329221372984827,0.5427864583331955,0.7139999999999477,0.06805978581245696,0.8325000000003276,0.004510362965010415,0.6163647054380075,0.7319171427242384,4370.631713713322,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,70.01296875000001,95.67611593411952,26.822906697282637,0.11296012278862748,92.527635118273,0.0,0.0,0.007053792844111046,0.06454404648942816,0.009284706749545646,0.0008561290778202055,0.000493955651846348,0.0,0.04938569779631699,97.56871410001824,98.06202204851941,98.19277980360529,10.445713194034228,10.460421557038199,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524490327413995,79.84360393471124,79.85028396077709,80.71765284406564,81.40904797026069,81.65694976681851,81.69929102904786,1.019521872422196,91.96210073960738,0.9196210073960738,0.5427864583331955,0.7139999999999477,0.08165344026394723,0.8325000000003276,0.005404741072837795,0.7385861548552061,0.7308766267599484,3642.193094761107,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5646905010008142,99.43530949899919,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.8436039347116,26.901888527436018,0.12544628943505023,99.83945491717651,0.0,0.0,0.008358307246506212,0.053262719983934115,0.011399461257039003,0.0008387442753574209,0.00048775568873877747,0.0,0.04878254195198417,81.42122512357699,81.85145729940474,81.95297187676306,12.517195272012176,12.534557008932316,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,5600.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,14.414165844242548,69.37620782361982,69.36041788192567,69.99353031063855,70.50975124398249,70.73208582570246,70.7805416039766,1.0165711155986916,90.74944149635458,0.9074944149635459,0.5427864583331955,0.7139999999999477,0.09372377721392129,0.8325000000003276,0.006220199954847891,0.8500228790182245,0.7209858423247432,3121.87979550951,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,28.22107076561873,71.77892923438127,0.0,110.77639999999872,110.11409650390533,1.0,58.29300000000001,69.37620782361984,15.975503044156918,0.13573540709857332,106.19311254925735,0.0,0.0,0.0058596416028263345,0.028195290030790153,0.06298709806489762,0.0013877528403730551,0.0002930949097149667,0.0,0.03415760879537518,70.59693493685793,70.77951191297413,70.82862525022848,14.409316355583872,14.421243331731986,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,6400.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,15.29761117346372,65.3696856080664,65.35069772960809,65.59252648327941,65.76980339842395,65.82751170632834,65.8356799198245,1.0064131716421898,90.18256501147623,0.9018256501147622,0.5427864583331955,0.7139999999999477,0.09856157869015704,0.8325000000003276,0.006601436486764654,0.9021208464146335,0.6695282298717897,2731.6448210708227,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,86.84852868559392,13.151471314406068,0.0,110.77639999999872,110.11409650390533,1.0,58.29300000000001,65.36968560806649,10.82563518652804,0.14227113657485033,107.52434710661818,0.0,0.0,0.002777534850515403,0.011867994114624972,0.05364203721977648,0.0007958149795418021,0.00012156394686634906,0.0,0.01619108390401657,65.83478669877474,65.87669687721115,65.88376522796408,15.294935617705658,15.300903019009112,3.0
