layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.3,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.677409070009381,176.13676299561462,176.1610863287909,178.0826583492683,179.60634828180991,180.1327820959663,180.23267913829875,1.0195582525776365,96.35638276005955,0.9635638276005953,0.5420645833333366,0.7139999999999477,0.03509635545472362,0.8325000000003276,0.004565161525914483,0.33221714011239545,0.33153794170391127,0.4736256310053695,0.2841753786033525,3644.7018273089466,3180.3046875739924,3670.7354117897103,126.64772592579034,0.08077799479166667,0.37614678899082565,1.602941176470588,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.3450542857143,176.13676299561473,24.29455793573929,0.08517339549838687,66.65706347549686,0.0,0.0,0.003833724071301002,0.11889051016427957,0.01710248399680355,0.0008566217530414803,0.00022387412497259392,0.0,0.05112081444006753,179.6229398580354,180.5316159769812,180.77247252464983,5.674028038319327,5.6820220074786,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.5,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.679759499481894,176.06387310666125,176.08818636725417,178.00896264173005,179.53202159601082,180.05823740761613,180.15809308138623,1.0195582469732802,96.35487431402491,0.9635487431402491,0.5424770833335631,0.7139999999999477,0.03511300621428671,0.8325000000003276,0.0033578839387130564,0.33383378099832206,0.3315447403914567,0.4736353434163559,0.28418120604982006,3643.268265853043,3179.053786283796,3669.291610609114,127.19466636732433,0.08077799479166667,0.4962962962962963,1.9852941176470589,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.2914828571429,176.06387310666176,24.293643404211696,0.08526893720320718,66.60994080005328,0.0,0.0,0.003835310121398068,0.11884127617766799,0.017095401653254606,0.0008566215022091653,0.00022387865166400436,0.0,0.051121417330161456,179.54860630146575,180.4569061267413,180.6976629328272,5.676377069024892,5.6843743453695765,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.7,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.682111723719786,175.9909879311953,176.01529111985482,177.93527169978674,179.45769971660943,179.98369753976093,180.08351184764376,1.0195582413646453,96.35336471615496,0.9635336471615495,0.5428895833333128,0.7139999999999477,0.03512967008242033,0.8325000000003276,0.002149606261691125,0.3354517520228571,0.33155153583084807,0.47364505118699257,0.2841870307121555,3641.8347043971285,3177.802884993612,3667.8478094285215,127.74160680885775,0.08077799479166667,0.577639751552795,2.367647058823529,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.23791142857146,175.99098793119478,24.29273014277733,0.08536471656885108,66.56275931523307,0.0,0.0,0.0038368973817536336,0.11879204537716517,0.017088319767629836,0.0008566212511856624,0.0002238831761148307,0.0,0.0511220193510706,179.4742775517381,180.3822011076767,180.62285817862974,5.67872789342847,5.686728479482178,3.0
compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,5600.0,4200.0,0.1,0.88,6,2.5,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.85,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,5.683877070941162,175.9363271428197,175.96062277795787,177.88000662075092,179.40196146125695,179.92779580231937,180.02757908754234,1.019558237155358,96.35223176107338,0.9635223176107338,0.5431989583334185,0.7139999999999477,0.03514217659533489,0.8325000000003276,0.0012427410056996514,0.33666610411095443,0.33155663027613164,0.4736523289659466,0.2841913973795414,3640.7595333051977,3176.864709025964,3666.764958543086,128.15181214000754,0.08077799479166667,0.6232686980609419,2.6544117647058827,0.0,0.0,0.0,0.0,100.0,0.0,110.77639999999872,110.11409650390533,1.0,133.1977328571429,175.93632714281975,24.292046031193944,0.08543670758546952,66.52733456741363,0.0,0.0,0.0038380886220098043,0.11875512436552717,0.017083008654011356,0.0008566210627920073,0.00022388656797674435,0.0,0.05112247029567332,179.4185341439325,180.32617551383711,180.5667577876732,5.68049219007301,5.688495260066159,3.0
