layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,bridge_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.524490327413995,79.84360393471124,79.85028396077709,80.71765284406564,81.40904797026069,81.65694976681851,81.69929102904786,1.019521872422196,91.96210073960738,0.9196210073960738,0.5427864583331955,0.7139999999999477,0.08165344026394723,0.8325000000003276,0.005404741072837795,0.7385861548552061,0.7308766267599484,3642.193094761107,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.5646905010008142,99.43530949899919,0.0,110.77639999999872,110.11409650390533,1.0,58.364140625000026,79.8436039347116,26.901888527436018,0.12544628943505023,99.83945491717651,0.0,0.0,0.008358307246506212,0.053262719983934115,0.011399461257039003,0.0008387442753574209,0.00048775568873877747,0.0,0.04878254195198417,81.42122512357699,81.85145729940474,81.95297187676306,12.517195272012176,12.534557008932316,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,12.039591675584262,83.05930363445063,83.00865489448712,85.00861919696021,87.14811958712016,88.2115282569414,88.45111730136084,1.0498689248325956,92.13714037581899,0.9213714037581898,0.5427864583331955,0.7065142894844492,0.08090159516959271,0.8325000000003276,0.005195490908464124,0.7099910247232045,0.702579979015805,4389.215163109938,135.45349922422562,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.4917417843665071,99.50825821563349,0.0,115.59309578614021,112.74968700513936,1.0,58.364140625000026,83.05930363445098,29.731957837862364,0.12395354643406949,97.1298665029296,0.0,0.0,0.003818711263531802,0.02634845944981846,0.25167274017461233,0.003345139176690869,0.00022284394285901942,0.1655771661808065,0.022287580119069,87.45565400259714,89.27259034443725,89.9005226206671,12.035062927430346,12.043260990906745,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,2.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.589730709863735,86.28330856738417,86.07443439920364,89.81011923581049,93.96023339487574,95.86872242275705,96.28722076330662,1.091615699856109,92.42839621765354,0.9242839621765354,0.5427864583331955,0.6996294730947414,0.07984052766112872,0.8325000000003276,0.005001360690392549,0.6834621143879306,0.6763279834022896,5136.4046621795405,145.1358695994911,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.47335599817458945,99.5266440018254,0.0,116.25263639556555,113.12804181137551,1.0,58.364140625000026,86.28330856738434,32.3575327043633,0.12249219732531529,94.6160668539954,0.0,0.0,0.0064648225540580116,0.048114556576621365,0.5012376828086685,0.005739492320126738,0.000377259878637055,0.17692984918033436,0.03773138126627665,94.54335641620847,97.57756914831185,98.42196649594302,11.583859690047753,11.597482400792856,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,2.5,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,11.173219048388178,89.49980839221978,89.20646256349183,94.76088827140687,100.80918086888657,103.54567257347269,104.09947061244833,1.1300637560666487,92.7005858728407,0.9270058587284069,0.5427864583331955,0.6968400951175607,0.07918026697455711,0.8325000000003276,0.004821621824758593,0.6588998576844992,0.6520221130484983,5883.594161249138,152.8969323017548,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.4563339879907175,99.54366601200928,0.0,116.25263639556555,113.12804181137551,1.0,58.364140625000026,89.49980839222003,34.78846722259454,0.12106819371369322,92.28862138044276,0.0,0.0,0.010973766453079072,0.0878417679882084,0.9132853150941899,0.009945607872697739,0.0006403828976994172,0.17692984918033436,0.06404744484539933,101.58823820119937,105.85547213369962,106.9107915808245,11.164957061722069,11.186459388215892,3.0
compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,3.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,10.786120114327753,92.71192579319393,92.39815300203107,99.59248755556895,107.69944884135987,111.213772191334,111.90296612610727,1.1655999339075185,92.95354869888497,0.9295354869888497,0.5427864583331955,0.6958951977892193,0.07873502827984587,0.8325000000003276,0.004654575545550831,0.636072109346474,0.629432645872402,6630.78366031871,159.53609449545849,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.44051472164627636,99.55948527835373,0.0,116.25263639556555,113.12804181137551,1.0,58.364140625000026,92.71192579319417,37.04773688492354,0.11967879788253379,90.12553269595257,0.0,0.0,0.015136729873326055,0.12999083840363654,1.4050145264947882,0.01489710764682166,0.0008833159498536854,0.17692984918033436,0.08834422309304849,108.75407611014863,114.12610989181748,115.39336932071267,10.773365430983544,10.804391339821406,3.0
