scenario,layer1_role,layer2_role,package_topology,compute_bonding,memory_ring_mount,hbm_ring_coverage,hbf_outer_ring_coverage,base_die_xbar_bw_gbs,tsv_uplink_bw_gbs,tsv_protocol_overhead,tsv_lane_util_limit,periphery_to_center_hops,base_die_hop_latency_ns,microbump_latency_ns,hbm_stack_height_mm,compute_die_thickness_mm,periphery_ring_clearance_mm,model_size_gb,num_layers,hidden_dim,num_experts,top_k,batch_size,context_len,kv_chunk_size_kb,shared_kv_ratio,weight_hbf_fraction,moe_layer_ratio,routing_diversity,prefetch_accuracy,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tops_int8,matrix_efficiency,freq_ghz,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,multi_tenant_users,traffic_burst_factor,burst_probability,tail_jitter_sigma,lhb_enable,lhb_size_mb,prefetch_depth,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_layers,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec,latency_ms_per_token,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tail_ratio_p99_p50,mem_bottleneck_pct,stall_cycles_ratio,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,prefetch_coverage_ratio,hbm_util,hbf_util,bridge_util,tsv_util,base_die_util,bridge_contention_ms_total,tsv_contention_ms_total,base_route_contention_ms_total,hbf_miss_penalty_ms_total,burst_event_ratio,shared_kv_reuse_ratio,batch_gain,bottleneck_compute_pct,bottleneck_hbm_pct,bottleneck_hbf_pct,bottleneck_bridge_pct,bottleneck_tsv_pct,bottleneck_router_pct,thermal_peak_c,thermal_avg_c,throttling_ratio,model_predicted_token_ms,model_measured_token_ms,model_error_pct,throughput_per_watt,power_w,oom_hbm,oom_hbf,tokens_per_sec_std,latency_ms_per_token_std,latency_p99_ms_std,tail_ratio_p99_p50_std,bridge_util_std,thermal_peak_c_std,model_error_pct_std,latency_p99_worst_ms,latency_p999_worst_ms,latency_max_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
nominal,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,64,1.0,0.08,0.08,1,64.0,1,1,35.0,1.0,180.0,88.0,0.25,125.0,0.03,4.105261018322103,243.58998161280851,243.62362626650113,246.28159360618304,248.38920031222324,249.11737696634842,249.25555709856357,1.0195620157438186,97.36534751880858,0.9736534751880859,0.5427864583331955,0.7139999999999477,0.02662700233670943,0.8325000000003276,0.001771558942552726,0.2420928014581766,0.23956578244728366,0.2999780232381955,0.19165262595782692,3642.193094761107,2785.687421911898,3321.680102422126,127.60487169847397,0.08077799479166667,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,32.60246900993834,67.39753099006165,0.0,110.77639999999872,110.11409650390533,1.0,177.89276660326092,243.58998161280851,26.970375982216087,0.07476661588945795,54.90766841577744,0.0,0.0,0.0027726498999351965,0.1644523804708489,0.023656591273469484,0.000856790180412101,0.0001618001972994682,0.0,0.04932343615201528,248.4121502028603,249.66905414440848,250.00221305306746,4.102815767552527,4.108597215824467,3.0
peak_traffic,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,256,2.0,0.14,0.1,1,64.0,1,1,38.0,1.1,180.0,88.0,0.25,125.0,0.03,1.8532464380080107,539.5949454272271,539.527603771491,559.8180021420674,576.6509224490356,587.7571962734181,589.6168734504377,1.0688100725317529,98.78622779242606,0.9878622779242606,0.5427864583331955,0.49653540039042393,0.012782847379140061,0.8325000000003276,0.0007997385027052327,0.10928845205392591,0.10814767465638299,0.1354196969609719,0.0865181397251064,30880.353561573298,19818.052116576422,28162.88244815487,439.72568969937856,0.13948567708333334,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,36.32681980549124,63.67318019450877,0.0,125.0,124.63504589521085,1.0,177.89276660326092,539.5949454272284,67.0320863945117,0.045021441808424816,41.16362057263779,0.0,0.0,0.0028763698110220413,0.838063663808247,2.3212010636079583,0.004685713606175996,0.00016785285547247342,0.0,0.05116853834578869,579.9334763567433,591.0626577000808,592.7530055792495,1.849838683332032,1.856020981319271,3.0
bridge_saturation,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,3600.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,384,2.8,0.2,0.14,1,64.0,1,1,40.0,1.2,180.0,88.0,0.25,125.0,0.03,1.0686376577628791,935.7760751250948,934.9128389012849,1001.0805737858524,1052.9960483884608,1078.8483667061928,1081.6701133150063,1.12631228932132,99.2999279559542,0.992999279559542,0.5427864583331955,0.4874999999999748,0.00809669062999057,0.8325000000003276,0.00046115328367895,0.06301900979179613,0.08314827095995707,0.0780870718580096,0.04988896257597424,79497.58162399889,32714.347266067416,54376.345830815095,677.2568830991345,0.19916992187500002,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,45.42930892548039,54.57069107451961,0.0,125.0,124.69575530859474,1.0,197.3074801449276,935.7760751250917,78.9149796558828,0.029235833067431296,36.552294159117366,0.0,0.0,0.002516917330069258,2.206316744576022,15.76339765512102,0.017395820254147213,0.0001958356255033346,0.0,0.049660661612864615,1072.2482479991054,1091.1718849073116,1096.1357375654245,1.065653863994017,1.071059599872092,3.0
tsv_neck_pressure,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,3000.0,0.08,0.82,8,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4200.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,320,2.4,0.18,0.13,1,64.0,1,1,41.0,1.25,180.0,88.0,0.25,125.0,0.03,1.1530142219386572,867.2929645025966,865.0718883228116,910.3106981070841,943.414374257668,954.9015216406515,956.8192086608506,1.0905603483719313,99.24462789464123,0.9924462789464124,0.5427864583331955,0.4874999999999748,0.008219854941288554,0.8325000000003276,0.0004975646241857634,0.06799481004117434,0.07689721708489987,0.14179096613696762,0.05382805195942991,50945.61217007227,44107.0041005793,44399.10100621779,556.6951250396186,0.17921549479166665,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,33.52606172912049,66.47393827087951,0.0,125.0,124.72031870038502,1.0,236.02096459407673,867.2929645025988,72.78644711473498,0.029637456705654836,38.903945176303225,0.0,0.0,0.0012217298488185389,0.918909483817348,4.215419008009363,0.004469557785914137,8.14800230700875e-05,0.0,0.028835385739115885,949.3718543184705,961.3253457222986,963.119602665789,1.1516894434923621,1.1543811598978346,3.0
thermal_hot,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.9,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,192,1.8,0.12,0.1,1,64.0,1,1,45.0,1.35,180.0,84.0,0.25,125.0,0.03,2.292127765927239,436.2763029597534,435.7612333225927,449.27784483403366,460.92267353356806,468.5559140684448,470.4029385966271,1.0577345682745696,98.49802900238096,0.9849802900238095,0.5427864583331955,0.5600446777342182,0.015591162082961995,0.8325000000003276,0.000989130635805823,0.1351698782797977,0.13375894474498895,0.1674894612458198,0.10700715579599117,21261.206915674218,14085.125162728937,19390.22070709476,321.07733921444174,0.12067057291666666,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,35.48850553266402,64.51149446733598,0.0,125.0,124.7744016397085,1.0,177.89276660326092,436.2763029597526,59.224705031105096,0.05228140369238058,43.842113874195924,0.0,0.0,0.002323520813604247,0.44227294706091835,2.728854948853052,0.004755635904246642,0.00013559091109173726,0.0,0.04133375457923777,464.1417129029968,471.388991908525,472.75197366171415,2.289541771759062,2.2946628114100838,3.0
worst_case_tail,compute_top,memory_bottom,active_base_3p5d,hybrid_3d_tsv,periphery_2p5d_microbump,1.0,1.0,6000.0,4600.0,0.08,0.9,5,2.2,8.0,0.72,0.12,2.0,180.0,80,8192,64,4,128,4096,128,0.65,1.0,0.5,0.35,0.8,192.0,2048.0,768.0,6400.0,4800.0,3200.0,10.0,2200.0,0.72,1.5,420.0,120.0,45.0,55.0,35.0,42,512,3.0,0.25,0.16,1,64.0,1,1,45.0,1.45,180.0,82.0,0.25,125.0,0.03,0.7260332346586352,1377.348996583705,1375.0772296096259,1480.8613159006654,1579.098361420509,1617.6071336767038,1624.3939426088482,1.1483709772069794,99.52420993590533,0.9952420993590533,0.4427864583333448,0.4874999999999748,0.0057904460207043,0.7399999999998124,0.0003133078904628786,0.04281516301784147,0.06355237310153465,0.053052415806473324,0.03389459898748514,133816.34549005446,45623.21926228771,81360.33805795299,1864.4995650229203,0.24881184895833333,0.5598705501618123,2.2720588235294117,0.0,0.0,0.0,49.51105781480834,50.48894218519166,0.0,125.0,124.79403286233003,1.0,207.01483691576095,1377.348996583695,84.97003483317191,0.02490531381852142,29.151735466659343,0.0,0.0,0.0007775301928491637,1.4754973864581555,13.731866479773197,0.009883535457259193,6.806009223102938e-05,0.0,0.016096028607015662,1594.921541948554,1636.6958382936232,1645.567673727086,0.7251310845999761,0.7268286088062031,3.0
