scenario,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf,tokens_per_sec_train_std,step_time_ms_std,step_p99_ms_std,tail_ratio_p99_p50_std,train_stability_score_std,convergence_proxy_std,step_p99_worst_ms,tokens_per_sec_p05,tokens_per_sec_p95,seed_count
full_ft_nominal,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2370.709635435283,110889.13910968376,108566.80415179604,121224.38630434446,170290.522960984,180630.3323492806,181776.4107182374,1.5706884447360683,0.00041913225020722604,5.091406795488449e-05,0.0017322900034623277,0.0017641719188541303,0.7738200000000001,0.75,0.8197640000000002,0.0,1.0,0.80375,74.0567326115093,57.60144421745492,0.0,0.044444444444444446,556.274750908919,4.260963543063073,28.603457725878297,0.25489882724470525,1.0089166682698842,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1.0,0.0,124.22759983908895,5974.420201406597,10528.239680827206,0.08525318898107527,0.5070602763543922,0.00887434752358108,182572.89426812623,2222.4573060232383,2486.7767772059765,3
full_ft_longctx,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,2,24,1,full_finetune,64,0.35,1.2,0.8,0.55,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2008.2183732014025,392715.25422421173,384490.6810781435,429317.6455940927,603085.9713032587,639704.5347508917,643763.3861391196,1.5706884447360683,0.00040049294107444836,1.4401303114044294e-05,0.0012705345809763053,0.0012639415920924636,0.7147800000000001,0.75,0.7579560000000002,0.0,1.0,0.80375,73.20062602625885,57.10603039410217,0.0,0.044444444444444446,552.4028740192208,3.6347402514228047,27.513057725878298,0.25490241531171326,1.0089166682698842,291.59999999999997,1119.6,1.0,180.0,720.0,71.99999999999999,39.599999999999994,1.0,0.0,105.2358921897849,21159.14078698576,37286.505683084855,0.08525318898107535,0.5070602763543922,0.008874312265903869,646585.5218194821,1882.630675402074,2106.5416215766804,3
full_ft_thermal_hot,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.12,2.0,1,45.0,1.35,140.0,86.0,0.3,125.0,0.035,2121.5529439717225,123864.800167786,111545.75492120365,176113.97306275635,259107.55189532417,275968.22451191634,278072.11984952673,2.3237957826799174,0.00041913225020722604,4.556310445814199e-05,0.0015502298981391275,0.0015787610900016506,0.7738200000000001,0.75,0.8197640000000002,0.0,1.0,0.80375,98.31415665616436,76.13619634865688,0.12314156656164353,0.11944444444444445,503.17434789587423,4.216210492106153,26.39131244584475,0.22336954289354746,1.0089166682698842,293.84999999999997,1094.85,1.0,180.0,720.0,49.50000000000001,14.850000000000001,1.0,0.0,103.91339504889203,6178.386375222402,11883.255097244744,0.02490493959954406,0.014448801678029907,0.0001933187835390937,274201.50872603717,2000.0317112978255,2225.8965972699043,3
lora_nominal,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,8,16,1,lora_sft,64,0.35,1.2,0.45,0.2,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2507.0688419221538,209715.9576897034,205323.9194525025,229262.16622731605,322057.10699210817,341611.98236337054,343779.4725818948,1.5706884447360683,0.0002672461489449951,4.669779617194373e-07,0.0008831823436170437,0.0008661288812813494,0.56457,0.75,0.797914,0.0,1.0,0.80375,73.75408685549517,57.42630844149942,0.0,0.044444444444444446,542.6652757366811,4.619035390167434,66.77739431469574,0.7283659009119949,1.0089166682698842,106.53750000000001,217.9125,0.015625,2.8125,11.25,119.25,23.850000000000005,0.0,0.0,131.39227476001793,11300.650383009055,19912.82235133663,0.0852531889810753,1.26765069088598,0.02535445763286072,345289.35662697424,2350.26662349863,2629.8315639842667,3
lora_throughput,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,12,12,1,lora_sft,32,0.35,1.2,0.6,0.3,0.95,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,5600,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2303.3350446993613,256798.88007386992,251420.79307119793,280733.3722690758,394361.5254056049,418306.62771496834,420960.7368359883,1.570688444736068,0.0002813815103801573,2.1451479240314673e-07,0.0009507890520331729,0.0007989030602753565,0.51908,0.75,0.796316,0.0,1.0,0.80375,73.73195285466629,57.41349988452108,0.0,0.044444444444444446,539.7049060412364,4.266948795795218,65.82764431469573,0.7283581264632057,1.0089166682698842,113.11875000000002,231.58125000000004,0.0078125,1.40625,5.625,148.5,44.54999999999999,0.0,0.0,120.71391342655903,13837.628176545997,24383.309272742546,0.0852531889810754,1.2676506908859861,0.025354534038362547,422809.3729154082,2159.276256730485,2416.120661590548,3
lora_worst_tail,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,12,24,1,lora_sft,64,0.35,1.2,0.6,0.3,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,3600,10.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,42,0.14,0.2,3.0,1,45.0,1.05,140.0,86.0,0.3,125.0,0.035,1504.675116249576,3161348.4797025546,2338493.3866712605,6682190.310756306,8754839.056522978,9519706.459682643,9615256.06244651,3.746524634008383,0.0005348696941381929,5.605351612901598e-08,0.0005793115944329499,0.0007570648077404882,0.15,0.75,0.6750000000000002,0.0,1.0,0.80375,87.32852844222414,69.82225455442365,0.013285284422241452,0.19999999999999998,377.4420851661759,3.9791137751244725,21.417862874370115,0.24257211280998614,1.0089166682698842,426.9375,372.2625,0.015625,2.8125,11.25,594.0,178.19999999999996,1.0,0.0,130.97673746667624,291817.68337067217,780582.9757359398,0.2867286775768114,0.12201653630655461,0.0015979478211669707,9403877.91219444,1346.5387015401245,1614.4080093868029,3
