mode,sweep_param,seed,layer1_role,layer2_role,hbm_ring_coverage,hbf_outer_ring_coverage,model_size_gb,num_layers,hidden_dim,num_experts,top_k,sequence_len,micro_batch_size,grad_accum_steps,data_parallel_degree,training_mode,lora_rank,route_diversity,expert_capacity_factor,activation_checkpoint_ratio,activation_offload_ratio,prefetch_accuracy,weight_prefetch_depth,lhb_enable,lhb_size_mb,hbm_capacity_gb,hbf_capacity_gb,sram_capacity_mb,hbm_bw_gbs,hbf_bw_gbs,bridge_bw_gbs,hbf_latency_us,compute_tflops_bf16,compute_efficiency,p_compute_w,p_hbm_w,p_hbf_w,p_sram_w,p_bridge_w,random_seed,tail_jitter_sigma,burst_probability,traffic_burst_factor,thermal_model_enable,ambient_temp_c,thermal_hotspot_gain,thermal_rc_tau_steps,thermal_throttle_start_c,thermal_throttle_max,thermal_shutdown_c,process_slowdown_sigma,tokens_per_sec_train,step_time_ms,step_p50_ms,step_p90_ms,step_p99_ms,step_p999_ms,step_max_ms,tail_ratio_p99_p50,stall_ratio,hbm_util,hbf_util,bridge_util,sram_hit_ratio,lhb_hit_ratio,overlap_efficiency,shared_context_reuse_ratio,batch_gain,expert_balance_score,thermal_peak_c,thermal_avg_c,thermal_throttle_ratio,burst_event_ratio,power_w,throughput_per_watt,train_stability_score,convergence_proxy,process_factor,model_hbm_resident_gb,model_hbf_resident_gb,trainable_ratio,trainable_gb,optimizer_gb,activation_stored_gb,activation_offload_gb,oom_hbm,oom_hbf
full_ft,sequence_len,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,2048,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2465.0536280532733,53172.06835110986,51537.610597304934,59580.50411151978,86745.15057703227,91278.29659026183,91665.22141118872,1.6831426519716932,0.000609609340384531,0.0001058345402155592,0.0027526200228572633,0.002835858088281782,0.8531325000000001,0.75,0.8256265000000002,0.0,1.0,0.80375,74.29044563182585,57.7512557727425,0.0,0.05,561.865205870594,4.387268694159026,28.726325,0.244882650201976,0.9571574563500113,274.190625,1088.071875,1.0,180.0,720.0,23.062499999999996,8.071874999999999,1,0
full_ft,sequence_len,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,2048,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2174.8868133838837,60266.124744241955,59517.09266580478,64320.959693303426,92377.29307245748,97936.76638517524,98593.09624663375,1.5521136691129462,0.0005423441938031898,9.337652669939868e-05,0.002428603143492879,0.002502043075510236,0.8531325000000001,0.75,0.8256265000000002,0.0,1.0,0.80375,74.00485195718029,57.48654114838271,0.0,0.03333333333333333,557.6752587406044,3.899916267211533,29.20518830887054,0.2532757066479273,1.0759495352258324,274.190625,1088.071875,1.0,180.0,720.0,23.062499999999996,8.071874999999999,1,0
full_ft,sequence_len,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,2048,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2388.116227318879,54885.10085924654,53743.409482180235,60110.170175374464,79368.75151927424,84971.36209323871,85667.78637347328,1.4768090131235652,0.0005872394518943795,0.00010253131210748136,0.002666707315986324,0.0027473474174870395,0.8531325000000001,0.75,0.8256265000000002,0.0,1.0,0.80375,74.11850583975061,57.70750600399092,0.0,0.05,564.7501678448864,4.228624201090624,29.95823486876435,0.2664453791088864,0.993643013233809,274.190625,1088.071875,1.0,180.0,720.0,23.062499999999996,8.071874999999999,1,0
full_ft,sequence_len,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2465.4759115866077,106325.92221568391,103057.56660370485,119140.59847928521,173460.58595910922,182525.32512276684,183299.0422206523,1.6831426519716934,0.00046621621965439573,5.294929679593739e-05,0.0018826547264169662,0.0019141887130353181,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,74.09803465980586,57.63983959592106,0.0,0.05,557.3607597375639,4.423483118451844,28.034450000000007,0.24491025337771652,0.9571574563500113,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1,0
full_ft,sequence_len,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2175.21827222549,120513.88283521429,119016.04695272344,128622.3169852633,184726.4333191103,195843.6856441552,197156.14534453803,1.5521136691129467,0.00041476543036482086,4.6715637070610935e-05,0.0016610119538983822,0.0016888334805926796,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.81383957852461,57.37642131720872,0.0,0.03333333333333333,553.1716680184954,3.932266234851278,28.51331330887054,0.2533002655598891,1.0759495352258324,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1,0
full_ft,sequence_len,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,4096,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2388.510316140688,109752.0903420537,107469.08433137214,120200.50476872691,158711.3123727069,169914.68473130025,171307.30348072588,1.4768090131235652,0.0004491053829421635,5.129636068847427e-05,0.0018238832570398793,0.0018544328365320214,0.7839450000000001,0.75,0.8117890000000002,0.0,1.0,0.80375,73.92693688166021,57.59630407608917,0.0,0.05,560.2459486212584,4.263324566681313,29.266359868764354,0.2664719699171597,0.993643013233809,289.18125,1096.14375,1.0,180.0,720.0,46.12499999999999,16.143749999999997,1,0
full_ft,sequence_len,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,8192,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2465.580736899698,212642.8034391836,206106.37012654688,238271.06632252954,346906.4224030554,365035.1299471579,366582.49835304345,1.6831426519716928,0.00043762460961612024,2.649873653782766e-05,0.0014474978462557355,0.001453172905073382,0.64557,0.75,0.7841140000000001,0.0,1.0,0.80375,73.71321271576586,57.41700724227819,0.0,0.05,548.3409081623871,4.496437709093071,26.650699999999997,0.2449157572626489,0.9571574563500113,319.16249999999997,1112.2875,1.0,180.0,720.0,92.24999999999999,32.287499999999994,1,0
full_ft,sequence_len,23,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,8192,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,23,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2175.300549781503,241018.6491483496,238023.0906902631,257234.90406916538,369438.89262486785,391672.55628739763,394297.376404433,1.5521136691129462,0.0003893273125682346,2.337896110907061e-05,0.0012770795998053484,0.0012820865169917602,0.64557,0.75,0.7841140000000001,0.0,1.0,0.80375,73.43181482121325,57.15618165486073,0.0,0.03333333333333333,544.1548161202647,3.9975765817732567,27.129563308870537,0.253305162397565,1.0759495352258324,319.16249999999997,1112.2875,1.0,180.0,720.0,92.24999999999999,32.287499999999994,1,0
full_ft,sequence_len,37,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,8192,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,37,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2388.6081417879673,219495.1908719317,214929.3658519748,240391.1638938954,317409.62467512855,339815.45172220154,342600.5751514168,1.476809013123565,0.0004215624701838538,2.5671476457485135e-05,0.0014023086281630254,0.0014078065181708788,0.64557,0.75,0.7841140000000001,0.0,1.0,0.80375,73.54379896547948,57.37390022028573,0.0,0.05,551.2268924844277,4.333257637381046,27.882609868764348,0.2664772719278657,0.993643013233809,319.16249999999997,1112.2875,1.0,180.0,720.0,92.24999999999999,32.287499999999994,1,0
full_ft,sequence_len,11,compute_top,memory_bottom,1.0,1.0,180.0,80,8192,64,4,16384,4,16,1,full_finetune,64,0.35,1.2,0.65,0.35,0.9,2,1,64.0,192.0,2048.0,768.0,6400.0,4800.0,4800.0,6.0,1100.0,0.68,520.0,140.0,55.0,65.0,42.0,11,0.07,0.06,1.5,1,35.0,1.05,140.0,86.0,0.3,125.0,0.035,2206.0188700326466,475325.0365371908,460714.00642988435,532612.4443139377,775447.3945828993,815970.8848511087,819429.750762244,1.6831426519716932,0.00045756682670604256,1.187509770392319e-05,0.0011004049014764553,0.0010939135977800524,0.36882000000000004,0.75,0.7287640000000002,0.0,1.0,0.80375,72.943568827686,56.97134253499247,0.0,0.05,530.3097239616812,4.159868790548611,23.883200000000002,0.2449119183858591,0.9571574563500113,379.12499999999994,1144.575,1.0,180.0,720.0,184.49999999999997,64.57499999999999,1,0
